sector,reporter,partner,reporter_code,partner_code,value,year,flow
agriculture,Canada,Greece,124,300,153655070.43801072,2022,export
agriculture,Canada,"China, Hong Kong SAR",124,344,3604337730.336682,2022,export
agriculture,Canada,Ireland,124,372,1010984144.441188,2022,export
agriculture,Canada,Japan,124,392,8127934836.271796,2022,export
agriculture,Canada,Rep. of Korea,124,410,1662947894.157232,2022,export
agriculture,Canada,Latvia,124,428,247636816.3192625,2022,export
agriculture,Canada,Lithuania,124,440,45445830.105400905,2022,export
agriculture,Canada,New Zealand,124,554,187560467.53943685,2022,export
agriculture,Canada,Nigeria,124,566,694066413.0391593,2022,export
agriculture,Canada,Philippines,124,608,501569472.4605154,2022,export
agriculture,Canada,Poland,124,616,530156986.6193559,2022,export
agriculture,Canada,Saudi Arabia,124,682,734602903.6123956,2022,export
agriculture,Canada,Viet Nam,124,704,987273811.859788,2022,export
agriculture,Canada,South Africa,124,710,565548963.2880715,2022,export
agriculture,Canada,Spain,124,724,1511220850.6313114,2022,export
agriculture,Canada,Trinidad and Tobago,124,780,302804485.2193911,2022,export
agriculture,Canada,Tunisia,124,788,86103880.78386606,2022,export
agriculture,Canada,United Kingdom,124,826,13683357409.500223,2022,export
agriculture,Canada,USA,124,842,528042256439.9483,2022,export
agriculture,Canada,Uruguay,124,858,215940673.62677777,2022,export
agriculture,Canada,Venezuela,124,862,175623120.64327538,2022,export
agriculture,China,Angola,156,24,1626203313.2490304,2022,export
agriculture,China,Antigua and Barbuda,156,28,80919958.4660094,2022,export
agriculture,China,Armenia,156,51,474457684.7800491,2022,export
agriculture,China,Barbados,156,52,112784193.30700757,2022,export
agriculture,China,Bosnia Herzegovina,156,70,242749140.97438118,2022,export
agriculture,China,Botswana,156,72,250906179.46469578,2022,export
agriculture,China,Belize,156,84,398617873.47430676,2022,export
agriculture,China,Br. Virgin Isds,156,92,26651123.916776344,2022,export
agriculture,China,Bulgaria,156,100,2840034541.325768,2022,export
agriculture,China,Cameroon,156,120,3374971805.2960997,2022,export
agriculture,China,Canada,156,124,64872056996.74984,2022,export
agriculture,China,Sri Lanka,156,144,766300797.5097522,2022,export
agriculture,China,Colombia,156,170,19417812125.97047,2022,export
agriculture,China,Cyprus,156,196,1325670179.817189,2022,export
agriculture,China,Benin,156,204,2825464947.452966,2022,export
agriculture,China,Denmark,156,208,9723614011.754122,2022,export
agriculture,China,Dominican Rep.,156,214,4370956287.175445,2022,export
agriculture,China,Ecuador,156,218,9085388234.106098,2022,export
agriculture,China,Eritrea,156,232,65341985.752692536,2022,export
agriculture,China,Estonia,156,233,823129081.9184161,2022,export
agriculture,China,Fiji,156,242,221446318.93470743,2022,export
agriculture,China,Djibouti,156,262,951257711.712436,2022,export
agriculture,China,Gabon,156,266,763960439.2429696,2022,export
agriculture,China,Gambia,156,270,297916120.0481355,2022,export
agriculture,China,Germany,156,276,89188570190.53278,2022,export
agriculture,China,Hungary,156,348,11378968932.632725,2022,export
agriculture,China,Iceland,156,352,247646012.05646384,2022,export
agriculture,China,Indonesia,156,360,51908157531.9853,2022,export
agriculture,China,Iran,156,364,10916517939.620129,2022,export
agriculture,China,Iraq,156,368,23282992552.177868,2022,export
agriculture,China,Ireland,156,372,7711864038.644267,2022,export
agriculture,China,Jamaica,156,388,1413265041.227111,2022,export
agriculture,China,Kazakhstan,156,398,17737942242.0667,2022,export
agriculture,China,Jordan,156,400,8402402893.090828,2022,export
agriculture,China,Rep. of Korea,156,410,199601810585.945,2022,export
agriculture,China,Liberia,156,430,6659942862.546167,2022,export
agriculture,China,Libya,156,434,1983022665.1281452,2022,export
agriculture,China,Madagascar,156,450,1848958984.7509813,2022,export
agriculture,China,Maldives,156,462,646975357.6758481,2022,export
agriculture,China,Mauritius,156,480,238555331.55262387,2022,export
agriculture,China,Mexico,156,484,28275186387.564762,2022,export
agriculture,China,"Other Asia, nes",156,490,102515547494.50073,2022,export
agriculture,China,Oman,156,512,4109709645.6725993,2022,export
agriculture,China,New Zealand,156,554,2738014765.6684766,2022,export
agriculture,China,Marshall Isds,156,584,2511282340.8712,2022,export
agriculture,China,Pakistan,156,586,30628860527.05509,2022,export
agriculture,China,Panama,156,591,3078581653.9927564,2022,export
agriculture,China,Papua New Guinea,156,598,1125191000.9032438,2022,export
agriculture,China,Paraguay,156,600,2342702433.2584324,2022,export
agriculture,China,Portugal,156,620,5643061890.918565,2022,export
agriculture,China,Romania,156,642,1998791480.6301713,2022,export
agriculture,China,Saudi Arabia,156,682,57853138396.34774,2022,export
agriculture,China,India,156,699,71196964827.22852,2022,export
agriculture,China,Somalia,156,706,1591962669.0052283,2022,export
agriculture,China,Zimbabwe,156,716,1854692595.4461212,2022,export
agriculture,China,Sweden,156,752,15581388523.185957,2022,export
agriculture,China,Syria,156,760,621595379.1689771,2022,export
agriculture,China,Tunisia,156,788,3128703528.258759,2022,export
agriculture,China,Uganda,156,800,279983091.16047984,2022,export
agriculture,China,North Macedonia,156,807,332197279.35182893,2022,export
agriculture,China,United Kingdom,156,826,126093694867.54337,2022,export
agriculture,China,United Rep. of Tanzania,156,834,5723228482.829328,2022,export
agriculture,China,USA,156,842,368800081005.69446,2022,export
agriculture,China,Yemen,156,887,1433440368.347228,2022,export
agriculture,China,Zambia,156,894,512470473.3132817,2022,export
agriculture,France,Angola,251,24,344312236.88389367,2022,export
agriculture,France,Australia,251,36,2259140543.9718323,2022,export
agriculture,France,Bahrain,251,48,71018715.46035814,2022,export
agriculture,France,Bangladesh,251,50,231361428.8290763,2022,export
agriculture,France,Brazil,251,76,6520758787.868936,2022,export
agriculture,France,Bulgaria,251,100,264628650.4088996,2022,export
agriculture,France,Belarus,251,112,235299933.3428823,2022,export
agriculture,France,Canada,251,124,6926484388.589728,2022,export
agriculture,France,China,251,156,27472395969.420254,2022,export
agriculture,France,Czechia,251,203,9789671798.910116,2022,export
agriculture,France,Denmark,251,208,4497050044.356542,2022,export
agriculture,France,Ecuador,251,218,215204564.8229081,2022,export
agriculture,France,Ethiopia,251,231,136856769.00961852,2022,export
agriculture,France,Gabon,251,266,833789324.1316117,2022,export
agriculture,France,Gibraltar,251,292,701795463.48257,2022,export
agriculture,France,Ireland,251,372,6351212783.11055,2022,export
agriculture,France,Israel,251,376,2255367794.8380823,2022,export
agriculture,France,Jordan,251,400,309709895.5920091,2022,export
agriculture,France,Rep. of Korea,251,410,4297298901.512173,2022,export
agriculture,France,Lebanon,251,422,124325185.54906204,2022,export
agriculture,France,Lithuania,251,440,1474638961.574969,2022,export
agriculture,France,Luxembourg,251,442,1781574867.1261308,2022,export
agriculture,France,Mali,251,466,555722269.181174,2022,export
agriculture,France,Malta,251,470,369564638.3566064,2022,export
agriculture,France,Mexico,251,484,3489270834.7146263,2022,export
agriculture,France,"Other Asia, nes",251,490,926312797.5700974,2022,export
agriculture,France,New Zealand,251,554,890868654.9764767,2022,export
agriculture,France,"Other Europe, nes",251,568,3769604995.811102,2022,export
agriculture,France,"Other Africa, nes",251,577,53432375.85313962,2022,export
agriculture,France,Peru,251,604,361678492.0306012,2022,export
agriculture,France,Philippines,251,608,522088016.2013009,2022,export
agriculture,France,Portugal,251,620,6388369630.584057,2022,export
agriculture,France,Qatar,251,634,242654783.2747037,2022,export
agriculture,France,Russian Federation,251,643,1743632832.397624,2022,export
agriculture,France,Singapore,251,702,10112231056.259516,2022,export
agriculture,France,Slovakia,251,703,1892821426.972267,2022,export
agriculture,France,Viet Nam,251,704,1417900984.5330462,2022,export
agriculture,France,Slovenia,251,705,2003055732.2507372,2022,export
agriculture,France,Switzerland,251,757,35133866879.02713,2022,export
agriculture,France,Türkiye,251,792,11102810697.231567,2022,export
agriculture,France,Egypt,251,818,2838540211.955073,2022,export
agriculture,France,United Kingdom,251,826,32159883094.81918,2022,export
agriculture,France,Burkina Faso,251,854,248824727.24991304,2022,export
agriculture,Germany,Albania,276,8,101908988.01603112,2022,export
agriculture,Germany,Angola,276,24,50900759.191326894,2022,export
agriculture,Germany,Australia,276,36,7503333515.328397,2022,export
agriculture,Germany,Bahamas,276,44,398687535.1293182,2022,export
agriculture,Germany,Bangladesh,276,50,360916573.7645095,2022,export
agriculture,Germany,Armenia,276,51,765488873.3636588,2022,export
agriculture,Germany,Belgium,276,56,17464977785.611958,2022,export
agriculture,Germany,Brazil,276,76,18256202319.164658,2022,export
agriculture,Germany,Bulgaria,276,100,2051755518.6931214,2022,export
agriculture,Germany,Belarus,276,112,352539882.25098157,2022,export
agriculture,Germany,Cameroon,276,120,104937362.31190065,2022,export
agriculture,Germany,Canada,276,124,8103042143.40508,2022,export
agriculture,Germany,Cayman Isds,276,136,227965317.89087614,2022,export
agriculture,Germany,Croatia,276,191,8360835517.332193,2022,export
agriculture,Germany,Cuba,276,192,164933388.68281174,2022,export
agriculture,Germany,Czechia,276,203,65069696100.42775,2022,export
agriculture,Germany,Denmark,276,208,41928254091.533104,2022,export
agriculture,Germany,Estonia,276,233,4424278249.497267,2022,export
agriculture,Germany,Finland,276,246,9315420862.144922,2022,export
agriculture,Germany,Georgia,276,268,335168964.71938354,2022,export
agriculture,Germany,Greece,276,300,6528111874.436666,2022,export
agriculture,Germany,Guatemala,276,320,83478965.02441522,2022,export
agriculture,Germany,Honduras,276,340,274464413.2346771,2022,export
agriculture,Germany,"China, Hong Kong SAR",276,344,4560048129.971848,2022,export
agriculture,Germany,Hungary,276,348,12231471294.209204,2022,export
agriculture,Germany,Indonesia,276,360,2709294551.088303,2022,export
agriculture,Germany,Ireland,276,372,16081846304.181843,2022,export
agriculture,Germany,Côte d'Ivoire,276,384,610143278.8681837,2022,export
agriculture,Germany,Jordan,276,400,1066464282.563638,2022,export
agriculture,Germany,Kuwait,276,414,1506455484.5218682,2022,export
agriculture,Germany,Kyrgyzstan,276,417,562136675.5820539,2022,export
agriculture,Germany,Lebanon,276,422,774158897.5126007,2022,export
agriculture,Germany,Luxembourg,276,442,5315115925.096283,2022,export
agriculture,Germany,"China, Macao SAR",276,446,382059252.7751372,2022,export
agriculture,Germany,Mali,276,466,139784976.93010554,2022,export
agriculture,Germany,Malta,276,470,587418847.2418336,2022,export
agriculture,Germany,Mauritania,276,478,38913820.72922245,2022,export
agriculture,Germany,Rep. of Moldova,276,498,987048109.7719321,2022,export
agriculture,Germany,Oman,276,512,754389706.6980425,2022,export
agriculture,Germany,Qatar,276,634,1180576058.6909654,2022,export
agriculture,Germany,Russian Federation,276,643,12960591414.261219,2022,export
agriculture,Germany,Saudi Arabia,276,682,8917220379.63344,2022,export
agriculture,Germany,Senegal,276,686,106460163.76065561,2022,export
agriculture,Germany,India,276,699,25780530646.58445,2022,export
agriculture,Germany,Slovakia,276,703,27782371502.102707,2022,export
agriculture,Germany,South Africa,276,710,14490593318.22692,2022,export
agriculture,Germany,Sweden,276,752,28489106635.037403,2022,export
agriculture,Germany,Thailand,276,764,3684204086.993082,2022,export
agriculture,Germany,Tunisia,276,788,1274038568.7962809,2022,export
agriculture,Germany,Turkmenistan,276,795,52672278.13818586,2022,export
agriculture,Germany,Egypt,276,818,3797524933.5864434,2022,export
agriculture,Germany,United Kingdom,276,826,95326253521.47678,2022,export
agriculture,Germany,Bunkers,276,837,8155176049.583446,2022,export
agriculture,Germany,Uruguay,276,858,551649053.2556142,2022,export
agriculture,Germany,Uzbekistan,276,860,2147876986.1345677,2022,export
agriculture,Germany,Yemen,276,887,150631811.69141862,2022,export
agriculture,India,Algeria,699,12,902832513.9968485,2022,export
agriculture,India,Argentina,699,32,317344655.0895434,2022,export
agriculture,India,Botswana,699,72,279944493.26856226,2022,export
agriculture,India,Brazil,699,76,12069182184.752438,2022,export
agriculture,India,Myanmar,699,104,627947640.268232,2022,export
agriculture,India,Cameroon,699,120,361029964.9541827,2022,export
agriculture,India,Chile,699,152,1620414735.0553234,2022,export
agriculture,India,China,699,156,19036114303.935402,2022,export
agriculture,India,Congo,699,178,182960283.70609024,2022,export
agriculture,India,Costa Rica,699,188,249459118.4916103,2022,export
agriculture,India,Croatia,699,191,483452991.2021415,2022,export
agriculture,India,Czechia,699,203,429432495.72843367,2022,export
agriculture,India,Djibouti,699,262,593697999.5378969,2022,export
agriculture,India,Georgia,699,268,411209407.73167175,2022,export
agriculture,India,Gambia,699,270,137027243.2935717,2022,export
agriculture,India,Germany,699,276,15985858944.648865,2022,export
agriculture,India,Greece,699,300,1413364589.9047,2022,export
agriculture,India,Honduras,699,340,147123264.28129655,2022,export
agriculture,India,Iran,699,364,901098626.1286997,2022,export
agriculture,India,Italy,699,380,11280688329.885809,2022,export
agriculture,India,Côte d'Ivoire,699,384,849032616.4363707,2022,export
agriculture,India,Jordan,699,400,1729579029.5546746,2022,export
agriculture,India,Kenya,699,404,2621464179.7706323,2022,export
agriculture,India,Rep. of Korea,699,410,11450131435.942926,2022,export
agriculture,India,Lebanon,699,422,321912197.9933944,2022,export
agriculture,India,Liberia,699,430,374482095.05149543,2022,export
agriculture,India,Libya,699,434,308755643.8183097,2022,export
agriculture,India,Madagascar,699,450,788847373.1268965,2022,export
agriculture,India,Malawi,699,454,73273750.78366226,2022,export
agriculture,India,Mali,699,466,244774419.05441827,2022,export
agriculture,India,Malta,699,470,320035134.8637326,2022,export
agriculture,India,Mauritania,699,478,171059303.18647882,2022,export
agriculture,India,Mexico,699,484,5962530515.338752,2022,export
agriculture,India,"Other Asia, nes",699,490,610808752.7416095,2022,export
agriculture,India,Morocco,699,504,915167024.7820241,2022,export
agriculture,India,Namibia,699,516,417921204.0575462,2022,export
agriculture,India,Netherlands,699,528,4755852621.426351,2022,export
agriculture,India,New Zealand,699,554,677948048.8837901,2022,export
agriculture,India,Nicaragua,699,558,110046772.9616295,2022,export
agriculture,India,Norway,699,579,363644552.22704905,2022,export
agriculture,India,Pakistan,699,586,465283977.2027275,2022,export
agriculture,India,Philippines,699,608,1880346296.881393,2022,export
agriculture,India,Portugal,699,620,1565003044.1770022,2022,export
agriculture,India,Rwanda,699,646,106343484.45295581,2022,export
agriculture,India,Senegal,699,686,1388767224.8797355,2022,export
agriculture,India,Sierra Leone,699,694,136227124.42854953,2022,export
agriculture,India,Singapore,699,702,13895088507.063667,2022,export
agriculture,India,Slovakia,699,703,194392482.82342252,2022,export
agriculture,India,Viet Nam,699,704,7973253047.693274,2022,export
agriculture,India,Somalia,699,706,769537125.1499251,2022,export
agriculture,India,South Africa,699,710,2956199020.9352636,2022,export
agriculture,India,Spain,699,724,4491402533.726609,2022,export
agriculture,India,Sudan,699,729,2199836663.1985726,2022,export
agriculture,India,Switzerland,699,757,1269955239.2850857,2022,export
agriculture,India,Trinidad and Tobago,699,780,75241242.96531014,2022,export
agriculture,India,United Arab Emirates,699,784,44081028560.65689,2022,export
agriculture,India,Türkiye,699,792,3918156104.0653677,2022,export
agriculture,India,Ukraine,699,804,319692048.7253475,2022,export
agriculture,India,Egypt,699,818,4751452992.563334,2022,export
agriculture,India,Uruguay,699,858,167167881.1088075,2022,export
agriculture,India,Yemen,699,887,627389044.4783747,2022,export
agriculture,India,Zambia,699,894,351159794.16112655,2022,export
agriculture,India,"Areas, nes",699,899,3898645189.2171183,2022,export
agriculture,Italy,Albania,380,8,2344957704.2306895,2022,export
agriculture,Italy,Argentina,380,32,1920655944.614381,2022,export
agriculture,Italy,Austria,380,40,5309640571.243125,2022,export
agriculture,Italy,Bahamas,380,44,116333546.61889893,2022,export
agriculture,Italy,Armenia,380,51,172457683.5366019,2022,export
agriculture,Italy,Brazil,380,76,6308316096.9224205,2022,export
agriculture,Italy,Belarus,380,112,313828645.19238126,2022,export
agriculture,Italy,Cayman Isds,380,136,394247457.95860475,2022,export
agriculture,Italy,Sri Lanka,380,144,318868921.2620652,2022,export
agriculture,Italy,Chile,380,152,2149395248.2380605,2022,export
agriculture,Italy,China,380,156,25383462950.811413,2022,export
agriculture,Italy,Colombia,380,170,654570536.5065215,2022,export
agriculture,Italy,Cyprus,380,196,1699623955.0975409,2022,export
agriculture,Italy,Dominican Rep.,380,214,875236153.201873,2022,export
agriculture,Italy,Germany,380,276,109689578852.93257,2022,export
agriculture,Italy,Guatemala,380,320,159306099.88632375,2022,export
agriculture,Italy,Honduras,380,340,164276407.71678582,2022,export
agriculture,Italy,Hungary,380,348,10678066835.247494,2022,export
agriculture,Italy,Iran,380,364,702630427.0913643,2022,export
agriculture,Italy,Israel,380,376,1803688669.5938742,2022,export
agriculture,Italy,Jordan,380,400,280251495.9882757,2022,export
agriculture,Italy,Rep. of Korea,380,410,6175497549.5530615,2022,export
agriculture,Italy,Kuwait,380,414,3302882716.2350316,2022,export
agriculture,Italy,Lithuania,380,440,991536367.1560675,2022,export
agriculture,Italy,"China, Macao SAR",380,446,73095508.55881822,2022,export
agriculture,Italy,Malta,380,470,1285845067.924176,2022,export
agriculture,Italy,Mauritius,380,480,59637924.74355704,2022,export
agriculture,Italy,Mexico,380,484,8260185095.7498865,2022,export
agriculture,Italy,New Zealand,380,554,702394626.7933865,2022,export
agriculture,Italy,Norway,380,579,2338421150.7973647,2022,export
agriculture,Italy,Marshall Isds,380,584,124192277.52652213,2022,export
agriculture,Italy,Pakistan,380,586,1109741433.5188828,2022,export
agriculture,Italy,Qatar,380,634,5492885678.2430315,2022,export
agriculture,Italy,Romania,380,642,5347801230.807681,2022,export
agriculture,Italy,Russian Federation,380,643,3736517981.8094864,2022,export
agriculture,Italy,Saudi Arabia,380,682,1929043214.5050604,2022,export
agriculture,Italy,Senegal,380,686,79056955.65850374,2022,export
agriculture,Italy,Serbia,380,688,3119426520.6791687,2022,export
agriculture,Italy,Slovakia,380,703,3778289963.9074574,2022,export
agriculture,Italy,South Africa,380,710,778212059.7829556,2022,export
agriculture,Italy,Trinidad and Tobago,380,780,756143975.7722969,2022,export
agriculture,Italy,United Arab Emirates,380,784,1827240819.354238,2022,export
agriculture,Italy,Tunisia,380,788,4809500344.401909,2022,export
agriculture,Italy,United Rep. of Tanzania,380,834,130669606.94724944,2022,export
agriculture,Italy,Bunkers,380,837,5634814724.187759,2022,export
agriculture,Italy,USA,380,842,111991914342.79007,2022,export
agriculture,Italy,Uruguay,380,858,432512836.4416901,2022,export
agriculture,Italy,Venezuela,380,862,157589494.95194736,2022,export
agriculture,Japan,Algeria,392,12,88819326.66095637,2022,export
agriculture,Japan,Argentina,392,32,1246845488.4043067,2022,export
agriculture,Japan,Bahrain,392,48,299998129.1032468,2022,export
agriculture,Japan,Brazil,392,76,5383090442.977464,2022,export
agriculture,Japan,Myanmar,392,104,552055435.7572292,2022,export
agriculture,Japan,Cambodia,392,116,478626456.06605375,2022,export
agriculture,Japan,Colombia,392,170,1092030250.4505496,2022,export
agriculture,Japan,Denmark,392,208,503901213.51557183,2022,export
agriculture,Japan,Ecuador,392,218,809235466.8007195,2022,export
agriculture,Japan,Gibraltar,392,292,48924690.99471638,2022,export
agriculture,Japan,Greece,392,300,200114022.9143301,2022,export
agriculture,Japan,Guam,392,316,213977687.63263726,2022,export
agriculture,Japan,Guatemala,392,320,544306645.1788795,2022,export
agriculture,Japan,"China, Hong Kong SAR",392,344,42324902222.306366,2022,export
agriculture,Japan,Hungary,392,348,361195894.37546843,2022,export
agriculture,Japan,Indonesia,392,360,21651860738.039932,2022,export
agriculture,Japan,Ireland,392,372,2541591348.2689896,2022,export
agriculture,Japan,Israel,392,376,2344271524.0942736,2022,export
agriculture,Japan,Italy,392,380,8129056788.022792,2022,export
agriculture,Japan,Kenya,392,404,1029629067.6274519,2022,export
agriculture,Japan,Liberia,392,430,897697327.6016282,2022,export
agriculture,Japan,Malaysia,392,458,12713409963.250156,2022,export
agriculture,Japan,Malta,392,470,97003893.48237927,2022,export
agriculture,Japan,"Other Asia, nes",392,490,58520723929.06854,2022,export
agriculture,Japan,Mongolia,392,496,214581495.41942865,2022,export
agriculture,Japan,Oman,392,512,1208177158.1871607,2022,export
agriculture,Japan,Netherlands,392,528,14434144096.477573,2022,export
agriculture,Japan,Nigeria,392,566,96041015.17112276,2022,export
agriculture,Japan,Norway,392,579,1341475918.4550307,2022,export
agriculture,Japan,Pakistan,392,586,613030125.937368,2022,export
agriculture,Japan,Romania,392,642,166931205.3331714,2022,export
agriculture,Japan,Saudi Arabia,392,682,8189418872.4034815,2022,export
agriculture,Japan,India,392,699,9010601079.701143,2022,export
agriculture,Japan,Viet Nam,392,704,20970980256.007515,2022,export
agriculture,Japan,Slovenia,392,705,95033329.89743932,2022,export
agriculture,Japan,South Africa,392,710,567432959.8262032,2022,export
agriculture,Japan,Spain,392,724,2221317339.4721045,2022,export
agriculture,Japan,United Rep. of Tanzania,392,834,411365593.6234546,2022,export
agriculture,Japan,USA,392,842,127511012296.78775,2022,export
agriculture,Mexico,Australia,484,36,1164030182.1278367,2022,export
agriculture,Mexico,Belgium,484,56,2030795144.247011,2022,export
agriculture,Mexico,Canada,484,124,12549202780.35978,2022,export
agriculture,Mexico,Chile,484,152,960300598.4463978,2022,export
agriculture,Mexico,Denmark,484,208,93165056.6584684,2022,export
agriculture,Mexico,El Salvador,484,222,1466128752.3909678,2022,export
agriculture,Mexico,Guatemala,484,320,4205321475.7628503,2022,export
agriculture,Mexico,Indonesia,484,360,132201017.66809686,2022,export
agriculture,Mexico,Italy,484,380,1082637304.4839742,2022,export
agriculture,Mexico,"Other Asia, nes",484,490,5160629051.266962,2022,export
agriculture,Mexico,Nicaragua,484,558,1013268300.5351862,2022,export
agriculture,Mexico,Peru,484,604,2772190219.5925426,2022,export
agriculture,Mexico,Poland,484,616,520352104.49319136,2022,export
agriculture,Mexico,Singapore,484,702,1478498276.5111685,2022,export
agriculture,Mexico,Thailand,484,764,213460859.89026824,2022,export
agriculture,Mexico,Türkiye,484,792,82437009.31959766,2022,export
agriculture,Mexico,United Kingdom,484,826,3627532022.787992,2022,export
agriculture,Netherlands,Azerbaijan,528,31,278131104.1100584,2022,export
agriculture,Netherlands,Argentina,528,32,1740784184.1988158,2022,export
agriculture,Netherlands,Bangladesh,528,50,535505564.24762744,2022,export
agriculture,Netherlands,Armenia,528,51,163181986.56417117,2022,export
agriculture,Netherlands,Belgium,528,56,200774818104.60037,2022,export
agriculture,Netherlands,Brazil,528,76,9676773550.858786,2022,export
agriculture,Netherlands,Belarus,528,112,208049960.96789214,2022,export
agriculture,Netherlands,Cameroon,528,120,65972761.83795355,2022,export
agriculture,Netherlands,Cabo Verde,528,132,291994954.0235669,2022,export
agriculture,Netherlands,China,528,156,34166516306.9627,2022,export
agriculture,Netherlands,Congo,528,178,165773013.46355057,2022,export
agriculture,Netherlands,Costa Rica,528,188,422954000.8612645,2022,export
agriculture,Netherlands,Cuba,528,192,304454141.90844935,2022,export
agriculture,Netherlands,Czechia,528,203,5047685885.969559,2022,export
agriculture,Netherlands,Denmark,528,208,10405737352.564264,2022,export
agriculture,Netherlands,Ecuador,528,218,498840023.68752235,2022,export
agriculture,Netherlands,Gabon,528,266,100469423.1878398,2022,export
agriculture,Netherlands,Germany,528,276,60828305259.91308,2022,export
agriculture,Netherlands,Greece,528,300,8201391349.41097,2022,export
agriculture,Netherlands,Guinea,528,324,494562235.8861093,2022,export
